Formula                         icsd     idk1 idk2
Ni4Ti3                         166369  148   SEBR
Ni1O3Ti1                       171584  148   SEBR
Mo6Te8                          59375  148   SEBR
Mo6S8Yb1                        46014  148   SEBR
Mo6S8Yb1                        46013  148   SEBR
Mo6S8Yb1                       201506  148   SEBR
Mo6S8Sr1                        62156  148   SEBR
Mo3Pb0.5Se4                        68  148   SEBR
Mo12Rb2Se14                     89004  148   SEBR
Ge1Mn1O3                        73247  148   SEBR
Ge1Mn1O3                        73246  148   SEBR
Ge1Mn1O3                        73245  148   SEBR
Ge1Mn1O3                        73244  148   SEBR
Ge1Mn1O3                        73243  148   SEBR
Ge1Mn1O3                        69591  148   SEBR
Cu1O3Si1                       247127  148   SEBR
